"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","comparison","gene_symbols","Pathway_Description"
"Organismal Systems","Endocrine system","kmr04912","GnRH signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","1/9","124/7558",0.00806451612903226,6.77240143369176,2.23772824282851,0.138398410001854,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","GnRH signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Endocrine system","kmr04916","Melanogenesis - Kryptolebias marmoratus (mangrove rivulus)","1/9","140/7558",0.00714285714285714,5.9984126984127,2.06112327559139,0.154953899322306,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","Melanogenesis - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04114","Oocyte meiosis - Kryptolebias marmoratus (mangrove rivulus)","1/9","145/7558",0.00689655172413793,5.79157088122605,2.01148209550372,0.160069175634061,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","Oocyte meiosis - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04217","Necroptosis - Kryptolebias marmoratus (mangrove rivulus)","1/9","159/7558",0.00628930817610063,5.28162124388539,1.88395943842726,0.174245839272275,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","Necroptosis - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04371","Apelin signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","1/9","179/7558",0.00558659217877095,4.69149596523898,1.72576402510303,0.194129262308538,0.288817957762953,0.275064721679003,"108239581",1,"PrC_PrW_Down","gngt1","Apelin signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04210","Apoptosis - Kryptolebias marmoratus (mangrove rivulus)","1/9","190/7558",0.00526315789473684,4.41988304093567,1.64840718402591,0.20488273793671,0.288817957762953,0.275064721679003,"108230705",1,"PrC_PrW_Down","LOC108230705","Apoptosis - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Transport and catabolism","kmr04148","Efferocytosis - Kryptolebias marmoratus (mangrove rivulus)","1/9","218/7558",0.00458715596330275,3.85219164118247,1.47540133728977,0.231681897583585,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","Efferocytosis - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04310","Wnt signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","1/9","225/7558",0.00444444444444444,3.73234567901235,1.43660479733671,0.238254922243695,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","Wnt signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Circulatory system","kmr04261","Adrenergic signaling in cardiomyocytes - Kryptolebias marmoratus (mangrove rivulus)","1/9","230/7558",0.00434782608695652,3.6512077294686,1.40982821557115,0.242919288366457,0.288817957762953,0.275064721679003,"108245388",1,"PrC_PrW_Down","LOC108245388","Adrenergic signaling in cardiomyocytes - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell motility","kmr04814","Motor proteins - Kryptolebias marmoratus (mangrove rivulus)","1/9","235/7558",0.00425531914893617,3.57352245862884,1.38378503569739,0.247558249511103,0.288817957762953,0.275064721679003,"108229967",1,"PrC_PrW_Down","LOC108229967","Motor proteins - Kryptolebias marmoratus (mangrove rivulus)"
NA,NA,"kmr04820","Cytoskeleton in muscle cells - Kryptolebias marmoratus (mangrove rivulus)","1/9","312/7558",0.00320512820512821,2.69159544159544,1.05360031420668,0.315877554024447,0.339665939133462,0.323491370603297,"108229967",1,"PrC_PrW_Down","LOC108229967","Cytoskeleton in muscle cells - Kryptolebias marmoratus (mangrove rivulus)"
NA,NA,"kmr04081","Hormone signaling - Kryptolebias marmoratus (mangrove rivulus)","1/9","321/7558",0.00311526479750779,2.61613014884043,1.02164688486313,0.323491370603297,0.339665939133462,0.323491370603297,"108239581",1,"PrC_PrW_Down","gngt1","Hormone signaling - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04020","Calcium signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","1/9","384/7558",0.00260416666666667,2.1869212962963,0.824248378368092,0.374712781327032,0.374712781327032,0.356869315549555,"108245388",1,"PrC_PrW_Down","LOC108245388","Calcium signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04110","Cell cycle - Kryptolebias marmoratus (mangrove rivulus)","11/60","181/7558",0.0607734806629834,7.65543278084715,8.10687199004191,1.35462432298395e-07,8.53413323479886e-06,7.98515390390536e-06,"108249946/108231347/108231150/108246065/108247983/108245709/108249584/108250912/108250252/108250212/108249022",11,"PrC_PoC_Up","ccnb3/pttg1/mcm7/cdc25b/stag1a/ticrr/cdca5/gadd45gb.1/LOC108250252/bub1/esco2","Cell cycle - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04330","Notch signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","8/60","90/7558",0.0888888888888889,11.197037037037,8.70503887760474,4.55225007050286e-07,1.4339587722084e-05,1.34171581025347e-05,"108228493/108245305/108228899/108231573/108236759/108246120/108237300/108230719",8,"PrC_PoC_Up","dlb/dla/LOC108228899/LOC108231573/LOC108236759/lfng/dld/tle2a","Notch signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04218","Cellular senescence - Kryptolebias marmoratus (mangrove rivulus)","7/60","208/7558",0.0336538461538462,4.23926282051282,4.23752040529669,0.00121068674155337,0.0254244215726209,0.0237889324656102,"108251002/108248584/108249946/108232401/108250912/108247561/108233309",7,"PrC_PoC_Up","mybl2b/zgc:158659/ccnb3/rbbp4/gadd45gb.1/pik3r3b/foxm1","Cellular senescence - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Endocrine system","kmr04914","Progesterone-mediated oocyte maturation - Kryptolebias marmoratus (mangrove rivulus)","5/60","115/7558",0.0434782608695652,5.4768115942029,4.32734326180203,0.0020962506450742,0.0330159476599186,0.0308921147695145,"108248584/108249946/108246065/108247561/108250212",5,"PrC_PoC_Up","zgc:158659/ccnb3/cdc25b/pik3r3b/bub1","Progesterone-mediated oocyte maturation - Kryptolebias marmoratus (mangrove rivulus)"
NA,NA,"kmr03273","Virion - Lassa virus and SFTS virus - Kryptolebias marmoratus (mangrove rivulus)","2/60","23/7558",0.0869565217391304,10.9536231884058,4.27642740187605,0.0140875174325997,0.177502719650756,0.166084416047491,"108248861/108243072",2,"PrC_PoC_Up","LOC108248861/pcdh11","Virion - Lassa virus and SFTS virus - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04370","VEGF signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","3/60","81/7558",0.037037037037037,4.66543209876543,2.96675454311802,0.0262037888447298,0.275139782869663,0.257440732509626,"108248584/108233801/108247561",3,"PrC_PoC_Up","zgc:158659/hspb1/pik3r3b","VEGF signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell motility","kmr04814","Motor proteins - Kryptolebias marmoratus (mangrove rivulus)","5/60","235/7558",0.0212765957446809,2.68014184397163,2.34052336191941,0.0380683586192962,0.342615227573666,0.320575651530915,"108248861/108233795/108234751/108235438/108246619",5,"PrC_PoC_Up","LOC108248861/kif4/LOC108234751/tubb5/kif11","Motor proteins - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04068","FoxO signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","4/60","181/7558",0.0220994475138122,2.78379373848987,2.17280948824112,0.0550122288477714,0.4332213021762,0.405353265194105,"108248584/108249946/108250912/108247561",4,"PrC_PoC_Up","zgc:158659/ccnb3/gadd45gb.1/pik3r3b","FoxO signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04310","Wnt signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","4/60","225/7558",0.0177777777777778,2.23940740740741,1.68827085118377,0.102766283221045,0.568087164455873,0.531543545689706,"108247013/108248252/108231821/108230719",4,"PrC_PoC_Up","ccdc88c/tcf7l2/fzd3a/tle2a","Wnt signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04010","MAPK signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","6/60","410/7558",0.0146341463414634,1.84341463414634,1.57079100957096,0.105141378889635,0.568087164455873,0.531543545689706,"108240489/108249018/108246065/108233801/108250912/108248660",6,"PrC_PoC_Up","mecom/LOC108249018/cdc25b/hspb1/gadd45gb.1/LOC108248660","MAPK signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Metabolism of cofactors and vitamins","kmr00730","Thiamine metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/60","18/7558",0.0555555555555556,6.99814814814815,2.27900556707969,0.133789563211226,0.568087164455873,0.531543545689706,"108233390",1,"PrC_PoC_Up","LOC108233390","Thiamine metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04115","p53 signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","2/60","96/7558",0.0208333333333333,2.62430555555556,1.43269367022187,0.176747368140771,0.568087164455873,0.531543545689706,"108250912/108249677",2,"PrC_PoC_Up","gadd45gb.1/LOC108249677","p53 signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Genetic Information Processing","Chromosome","kmr03083","Polycomb repressive complex - Kryptolebias marmoratus (mangrove rivulus)","2/60","97/7558",0.0206185567010309,2.59725085910653,1.41624404184247,0.179595745315005,0.568087164455873,0.531543545689706,"108250886/108232401",2,"PrC_PoC_Up","phc2a/rbbp4","Polycomb repressive complex - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cellular community - eukaryotes","kmr04510","Focal adhesion - Kryptolebias marmoratus (mangrove rivulus)","4/60","280/7558",0.0142857142857143,1.79952380952381,1.21950057580443,0.181538094218202,0.568087164455873,0.531543545689706,"108248584/108247599/108247561/108251448",4,"PrC_PoC_Up","zgc:158659/arhgap35b/pik3r3b/lama1","Focal adhesion - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04210","Apoptosis - Kryptolebias marmoratus (mangrove rivulus)","3/60","190/7558",0.0157894736842105,1.98894736842105,1.23495971034466,0.191121014788287,0.568087164455873,0.531543545689706,"108248584/108250912/108247561",3,"PrC_PoC_Up","zgc:158659/gadd45gb.1/pik3r3b","Apoptosis - Kryptolebias marmoratus (mangrove rivulus)"
"Human Diseases","Infectious disease: viral","kmr05168","Herpes simplex virus 1 infection - Kryptolebias marmoratus (mangrove rivulus)","3/60","193/7558",0.0155440414507772,1.9580310880829,1.20600608568523,0.197198601944047,0.568087164455873,0.531543545689706,"108228612/108248584/108247561",3,"PrC_PoC_Up","LOC108228612/zgc:158659/pik3r3b","Herpes simplex virus 1 infection - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signaling molecules and interaction","kmr04512","ECM-receptor interaction - Kryptolebias marmoratus (mangrove rivulus)","2/60","107/7558",0.0186915887850467,2.35451713395639,1.26225392091777,0.208434546240136,0.568087164455873,0.531543545689706,"108237937/108251448",2,"PrC_PoC_Up","hmmr/lama1","ECM-receptor interaction - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04150","mTOR signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","3/60","201/7558",0.0149253731343284,1.88009950248756,1.13124596835838,0.213635284551443,0.568087164455873,0.531543545689706,"108248584/108247561/108231821",3,"PrC_PoC_Up","zgc:158659/pik3r3b/fzd3a","mTOR signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Global and overview maps","kmr01232","Nucleotide metabolism - Kryptolebias marmoratus (mangrove rivulus)","2/60","109/7558",0.018348623853211,2.31131498470948,1.23352769346146,0.214265716013216,0.568087164455873,0.531543545689706,"108249677/108233390",2,"PrC_PoC_Up","LOC108249677/LOC108233390","Nucleotide metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04012","ErbB signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","2/60","113/7558",0.0176991150442478,2.22949852507375,1.17791106388609,0.225975180177171,0.568087164455873,0.531543545689706,"108248584/108247561",2,"PrC_PoC_Up","zgc:158659/pik3r3b","ErbB signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Immune system","kmr04620","Toll-like receptor signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","2/60","113/7558",0.0176991150442478,2.22949852507375,1.17791106388609,0.225975180177171,0.568087164455873,0.531543545689706,"108248584/108247561",2,"PrC_PoC_Up","zgc:158659/pik3r3b","Toll-like receptor signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Glycan biosynthesis and metabolism","kmr00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Kryptolebias marmoratus (mangrove rivulus)","1/60","33/7558",0.0303030303030303,3.81717171717172,1.45075693649983,0.231703920191589,0.568087164455873,0.531543545689706,"108242749",1,"PrC_PoC_Up","hs3st1l2","Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Transport and catabolism","kmr04140","Autophagy - animal - Kryptolebias marmoratus (mangrove rivulus)","3/60","212/7558",0.0141509433962264,1.78254716981132,1.033785917532,0.236707656980254,0.568087164455873,0.531543545689706,"108235979/108248584/108247561",3,"PrC_PoC_Up","hmgb1b/zgc:158659/pik3r3b","Autophagy - animal - Kryptolebias marmoratus (mangrove rivulus)"
"Genetic Information Processing","Chromosome","kmr03082","ATP-dependent chromatin remodeling - Kryptolebias marmoratus (mangrove rivulus)","2/60","117/7558",0.0170940170940171,2.15327635327635,1.1245746364008,0.237734850793758,0.568087164455873,0.531543545689706,"108232401/108236215",2,"PrC_PoC_Up","rbbp4/smarca4a","ATP-dependent chromatin remodeling - Kryptolebias marmoratus (mangrove rivulus)"
"Human Diseases","Infectious disease: bacterial","kmr05100","Bacterial invasion of epithelial cells - Kryptolebias marmoratus (mangrove rivulus)","2/60","119/7558",0.0168067226890756,2.11708683473389,1.09870412015132,0.243628980971471,0.568087164455873,0.531543545689706,"108248584/108247561",2,"PrC_PoC_Up","zgc:158659/pik3r3b","Bacterial invasion of epithelial cells - Kryptolebias marmoratus (mangrove rivulus)"
"Environmental Information Processing","Signal transduction","kmr04070","Phosphatidylinositol signaling system - Kryptolebias marmoratus (mangrove rivulus)","2/60","120/7558",0.0166666666666667,2.09944444444444,1.08595903612342,0.246578858112493,0.568087164455873,0.531543545689706,"108248584/108247561",2,"PrC_PoC_Up","zgc:158659/pik3r3b","Phosphatidylinositol signaling system - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell motility","kmr04810","Regulation of actin cytoskeleton - Kryptolebias marmoratus (mangrove rivulus)","4/60","320/7558",0.0125,1.57458333333333,0.939499043960031,0.248439849402048,0.568087164455873,0.531543545689706,"108248861/108248584/108247599/108247561",4,"PrC_PoC_Up","LOC108248861/zgc:158659/arhgap35b/pik3r3b","Regulation of actin cytoskeleton - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Immune system","kmr04625","C-type lectin receptor signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","2/60","122/7558",0.0163934426229508,2.06502732240437,1.06083683813113,0.25248318420261,0.568087164455873,0.531543545689706,"108248584/108247561",2,"PrC_PoC_Up","zgc:158659/pik3r3b","C-type lectin receptor signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Genetic Information Processing","Replication and repair","kmr03030","DNA replication - Kryptolebias marmoratus (mangrove rivulus)","1/60","38/7558",0.0263157894736842,3.31491228070175,1.27966129736163,0.261856982949345,0.568861721579612,0.532268277501391,"108231150",1,"PrC_PoC_Up","mcm7","DNA replication - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Endocrine system","kmr04916","Melanogenesis - Kryptolebias marmoratus (mangrove rivulus)","2/60","140/7558",0.0142857142857143,1.79952380952381,0.854141105960414,0.305652957002736,0.610650280148928,0.571368683180283,"108248252/108231821",2,"PrC_PoC_Up","tcf7l2/fzd3a","Melanogenesis - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Metabolism of cofactors and vitamins","kmr00670","One carbon pool by folate - Kryptolebias marmoratus (mangrove rivulus)","1/60","47/7558",0.0212765957446809,2.68014184397163,1.03353125416615,0.313227869262828,0.610650280148928,0.571368683180283,"108232423",1,"PrC_PoC_Up","cbsb","One carbon pool by folate - Kryptolebias marmoratus (mangrove rivulus)"
"Genetic Information Processing","Replication and repair","kmr03410","Base excision repair - Kryptolebias marmoratus (mangrove rivulus)","1/60","48/7558",0.0208333333333333,2.62430555555556,1.00982472083245,0.318713999983668,0.610650280148928,0.571368683180283,"108235979",1,"PrC_PoC_Up","hmgb1b","Base excision repair - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cell growth and death","kmr04114","Oocyte meiosis - Kryptolebias marmoratus (mangrove rivulus)","2/60","145/7558",0.0137931034482759,1.73747126436782,0.802065289366915,0.320348362904524,0.610650280148928,0.571368683180283,"108231347/108250212",2,"PrC_PoC_Up","pttg1/bub1","Oocyte meiosis - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Amino acid metabolism","kmr00260","Glycine, serine and threonine metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/60","50/7558",0.02,2.51933333333333,0.964169867292796,0.329557294048628,0.610650280148928,0.571368683180283,"108232423",1,"PrC_PoC_Up","cbsb","Glycine, serine and threonine metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cellular community - eukaryotes","kmr04530","Tight junction - Kryptolebias marmoratus (mangrove rivulus)","3/60","260/7558",0.0115384615384615,1.45346153846154,0.66558391795776,0.340961224156711,0.61373020348208,0.57425048279025,"108248861/108232031/108239057",3,"PrC_PoC_Up","LOC108248861/LOC108232031/LOC108239057","Tight junction - Kryptolebias marmoratus (mangrove rivulus)"
"Cellular Processes","Cellular community - eukaryotes","kmr04520","Adherens junction - Kryptolebias marmoratus (mangrove rivulus)","2/60","158/7558",0.0126582278481013,1.59451476793249,0.675542923472812,0.358194629795959,0.624502036076528,0.584329390480962,"108239057/108248252",2,"PrC_PoC_Up","LOC108239057/tcf7l2","Adherens junction - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Glycan biosynthesis and metabolism","kmr00514","Other types of O-glycan biosynthesis - Kryptolebias marmoratus (mangrove rivulus)","1/60","58/7558",0.0172413793103448,2.17183908045977,0.801362398897989,0.371258906382619,0.624502036076528,0.584329390480962,"108246120",1,"PrC_PoC_Up","lfng","Other types of O-glycan biosynthesis - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Nucleotide metabolism","kmr00230","Purine metabolism - Kryptolebias marmoratus (mangrove rivulus)","2/60","167/7558",0.0119760479041916,1.50858283433134,0.594491912033437,0.383978854057517,0.624502036076528,0.584329390480962,"108249677/108233390",2,"PrC_PoC_Up","LOC108249677/LOC108233390","Purine metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Amino acid metabolism","kmr00270","Cysteine and methionine metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/60","62/7558",0.0161290322580645,2.03172043010753,0.729660278437233,0.391142399238526,0.624502036076528,0.584329390480962,"108232423",1,"PrC_PoC_Up","cbsb","Cysteine and methionine metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Organismal Systems","Endocrine system","kmr04910","Insulin signaling pathway - Kryptolebias marmoratus (mangrove rivulus)","2/60","178/7558",0.0112359550561798,1.41535580524345,0.501625635897069,0.414902184593918,0.624502036076528,0.584329390480962,"108248584/108247561",2,"PrC_PoC_Up","zgc:158659/pik3r3b","Insulin signaling pathway - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Nucleotide metabolism","kmr00240","Pyrimidine metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/60","69/7558",0.0144927536231884,1.8256038647343,0.616257142150161,0.424461299778042,0.624502036076528,0.584329390480962,"108249677",1,"PrC_PoC_Up","LOC108249677","Pyrimidine metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Metabolism of other amino acids","kmr00480","Glutathione metabolism - Kryptolebias marmoratus (mangrove rivulus)","1/60","69/7558",0.0144927536231884,1.8256038647343,0.616257142150161,0.424461299778042,0.624502036076528,0.584329390480962,"108249677",1,"PrC_PoC_Up","LOC108249677","Glutathione metabolism - Kryptolebias marmoratus (mangrove rivulus)"
"Metabolism","Xenobiotics biodegradation and metabolism","kmr00983","Drug metabolism - other enzymes - Kryptolebias marmoratus (mangrove rivulus)","1/60","70/7558",0.0142857142857143,1.79952380952381,0.601139300735353,0.429072372286163,0.624502036076528,0.584329390480962,"108249677",1,"PrC_PoC_Up","LOC108249677","Drug metabolism - other enzymes - Kryptolebias marmoratus (mangrove rivulus)"
"Genetic Information Processing","Information processing in viruses","kmr03250","Viral life cycle - HIV-1 - Kryptolebias marmoratus (mangrove rivulus)","1/60","72/7558",0.0138888888888889,1.74953703703704,0.571626103381744,0.438185803052645,0.624502036076528,0.584329390480962,"108245952",1,"PrC_PoC_Up","fez1","Viral life cycle - HIV-1 - Kryptolebias marmoratus (mangrove rivulus)"
NA,NA,"kmr04820","Cytoskeleton in muscle cells - Kryptolebias marmoratus (mangrove rivulus)","3/60","312/7558",0.00961538461538462,1.21121794871795,0.340829024062608,0.453273861376665,0.624502036076528,0.584329390480962,"108248861/108250851/108251448",3,"PrC_PoC_Up","LOC108248861/fmnl2b/lama1","Cytoskeleton in muscle cells - Kryptolebias marmoratus (mangrove rivulus)"
